word,translation,reference,has_letter_outside_alphabet,has_letter_from_emakhuwa,vowel_seq,consonat_seq,label,tag,match_,match_in_portuguese_not_stopword_,distance_match_emakhuwa_,distance_soundex_match_emakhuwa_,distance_soundex_translation_emakhuwa_,start_with_f,start_with_ch,consonat_vowels,vowel_consonat
waruba,aruba,aruba,1,0,0,0,1,loan,aruba,1,0.166666667,0.333333333,0.333333333,0,0,0,0
ekomisau,ecomissão,comissão,0,0,1,0,1,loan,comissão,1,0.625,0,0,0,0,0,0
ekhama,cama,cama,0,1,0,0,1,loan,cama,1,0.5,0,0,0,0,0,0
ajose,agose,josé,1,0,0,0,1,loan,ajose,0,0,0,0.5,0,0,0,0
pereliminaari,preliminar,preliminar,0,0,0,0,1,loan,preliminar,1,0.230769231,0.25,0.25,0,0,0,0
ekwaritelo,quartel,quartel,0,1,0,0,1,loan,quartel,1,0.5,0.4,0.4,0,0,0,0
istooriwa,estória,estória,0,0,0,1,1,loan,estória,1,0.444444444,0.333333333,0.333333333,0,0,0,0
otoronto,toronto,toronto,0,0,0,0,1,loan,toronto,1,0.125,0,0,0,0,0,0
waafirikaka,áfrica,áfrica,0,0,0,0,1,loan,áfrica,1,0.636363636,0.25,0.25,0,0,0,0
bíbiliya,bíblia,bíblia,1,0,0,0,1,loan,bíblia,1,0.25,0,0,0,0,0,0
ogamla,gamla,gamla,1,0,0,0,1,loan,gamela,1,0.333333333,0,0,0,0,0,0
okoraale,coral,coral,0,0,0,0,1,loan,coral,1,0.5,0,0,0,0,0,0
ikapela,capelas,capelas,0,0,0,0,1,loan,capelas,1,0.428571429,0,0,0,0,0,0
yakobe,jacó,jacó,1,0,0,0,1,loan,jack,1,0.833333333,1,1,0,0,0,0
wucrânia,ucrânia,ucrânia,1,0,1,1,1,loan,ucrânia,1,0.125,0.25,0.25,0,0,0,0
raatio,rádio,rádio,0,0,1,0,1,loan,rádio,1,0.5,0.5,0.5,0,0,0,0
waamérica,américas,américa,0,0,0,0,1,loan,américas,1,0.333333333,0.25,0.25,0,0,1,0
ekosinya,cozinha,cozinha,0,1,0,0,1,loan,cozinha,1,0.5,0,0,0,0,0,0
omaputto,maputo,maputo,0,1,0,0,1,loan,maputo,1,0.25,0,0,0,0,0,0
wedomi,edom,edom,1,0,0,0,1,loan,dom,1,0.5,0.666666667,0.666666667,0,0,0,0
osudan,sudã,sudão,1,0,0,0,1,loan,sudão,1,0.5,0,0,0,0,0,0
ahitefenteri,hidefenteria,defendeu,0,0,0,0,1,loan,ahitefenteri,0,0,0,0.2,0,0,0,1
ocuamba,cuamba,cuamba,1,0,1,0,1,loan,cuamba,1,0.142857143,0,0,0,0,1,0
meetiku,médico,médico,0,0,0,0,1,loan,médico,1,0.714285714,0.333333333,0.333333333,0,0,0,0
okabu,cabo,cabo,1,0,0,0,1,loan,cabo,1,0.6,0,0,0,0,0,1
oruanda,ruanda,ruanda,1,0,1,0,1,loan,ruanda,1,0.142857143,0,0,0,0,0,0
ogilee,gilé,gilé,1,0,0,0,1,loan,gilé,1,0.5,0,0,0,0,0,0
ivviru,vírus,vírus,0,0,0,0,1,loan,vírus,1,0.666666667,0,0,0,0,0,0
onoobatiziwa,batizar,batizar,1,0,0,0,1,loan,batizar,1,0.583333333,0.4,0.4,0,0,0,0
etiscu,disco,disco,0,0,0,0,1,loan,disco,1,0.5,0.333333333,0.333333333,0,0,1,0
asaaraya,israelita,israelita,0,0,0,0,1,loan,israelita,1,0.666666667,0.333333333,0.333333333,0,0,0,0
itecido,tecidos,tecidos,1,0,0,0,1,loan,tecidos,1,0.285714286,0,0,0,0,0,0
oprocuradoria,procuradoria,procuradoria,1,0,1,1,1,loan,procuradoria,1,0.076923077,0,0,0,0,1,1
ikampaanya,campanhas,campanhas,0,1,0,0,1,loan,campanhas,1,0.5,0,0,0,0,0,0
imperiu,império,império,0,0,1,0,1,loan,império,1,0.285714286,0,0,0,0,0,0
ekonturu,encontro,encontro,0,0,0,0,1,loan,encontro,1,0.5,0.5,0.5,0,0,0,0
universitate,universidade,universidade,0,0,0,0,1,loan,universidade,1,0.166666667,0.25,0.25,0,0,0,0
emuuseyu,museu,museu,0,0,1,0,1,loan,museu,1,0.375,0,0,0,0,0,0
olinda,linda,linda,1,0,0,0,1,loan,linda,1,0.166666667,0,0,0,0,0,0
eswatiini,essuatíni,essuatíni,0,0,0,0,1,loan,eswatiini,0,0,0,0.25,0,0,0,0
olokalidade,localidade,localidade,1,0,0,0,1,loan,localidade,1,0.181818182,0,0,0,0,0,1
eparfuume,perfume,perfume,0,0,1,0,1,loan,perfume,1,0.333333333,0,0,0,0,0,0
apatisa,batizou,batizou,0,0,0,0,1,loan,batizou,1,0.714285714,0.333333333,0.333333333,0,0,0,0
oformariwe,formou,formou,0,0,0,0,1,loan,formou,1,0.6,0.5,0.5,0,0,0,0
mpoletini,poletim,no boletim,0,0,0,0,1,loan,boletim,1,0.444444444,0.6,0.4,0,0,0,0
wqafirika,áfrica,áfrica,1,0,0,0,1,loan,áfrica,1,0.555555556,0.4,0.4,0,0,0,0
eletoroonika,eletrónica,eletrónica,0,0,0,0,1,loan,eletrónica,1,0.333333333,0.2,0.2,0,0,0,0
iprofesia,profetizamos,profecias,0,0,1,1,1,loan,profetizamos,1,0.5,0.4,0.4,0,0,0,0
amosampikano,moçambicano,moçambicano,0,0,0,0,1,loan,moçambicano,1,0.333333333,0.166666667,0.166666667,0,0,0,0
prisila,priscila,priscila,0,0,0,1,1,loan,prisila,0,0,0,0,0,0,0,0
itemplo,templos,templos,0,0,0,1,1,loan,templos,1,0.285714286,0,0,0,0,0,0
obatiso,batismo,batizar,1,0,0,0,1,loan,batismo,1,0.285714286,0.333333333,0.333333333,0,0,0,0
iferiado,feriados,feriados,1,0,1,0,1,loan,feriados,1,0.25,0,0,0,0,0,1
osodoma,sodoma,sodoma,1,0,0,0,1,loan,sodomia,1,0.285714286,0,0,0,0,0,0
eleite,leite,leite,0,0,1,0,1,loan,leite,1,0.166666667,0,0,0,0,0,0
iilivro,livro,livro,0,0,0,1,1,loan,livro,1,0.285714286,0,0,0,0,0,0
timoteyo,timóteo,timóteo,0,0,0,0,1,loan,timóteo,1,0.25,0,0,0,0,0,0
wuganda,uganda,uganda,1,0,0,0,1,loan,uganda,1,0.142857143,0.333333333,0.333333333,0,0,0,0
kalaapitu,capítulo,capítulo,0,0,0,0,1,loan,capítulo,1,0.777777778,0.5,0.5,0,0,0,0
pastoore,pastor,pastor,0,0,0,1,1,loan,pastor,1,0.25,0.333333333,0.333333333,0,0,0,0
waafrika,áfrica,áfrica,0,0,0,1,1,loan,áfrica,1,0.5,0.25,0.25,0,0,0,0
ekarta,carta,carta,0,0,0,1,1,loan,carta,1,0.333333333,0,0,0,0,0,0
kalapintero,carpinteiro,carpinteiro,0,0,0,0,1,loan,carpinteiro,1,0.363636364,0,0,0,0,0,0
ikaneta,canetas,canetas,0,0,0,0,1,loan,canetas,1,0.428571429,0,0,0,0,0,0
n’eliberdade,liberdade,liberdade,1,0,0,0,1,loan,liberdade,1,0.25,0.333333333,0.333333333,0,0,0,1
omaxava,mavava,maxava,0,0,0,0,1,loan,mamava,1,0.285714286,0.333333333,0.333333333,0,0,0,0
evitamina,vitaminas,vitaminas,0,0,0,0,1,loan,vitaminas,1,0.222222222,0,0,0,0,0,0
apopulaçao,população,população,1,0,1,0,1,loan,população,1,0.2,0,0,0,0,0,0
akatemia,academia,academia,0,0,1,0,1,loan,academia,1,0.25,0.333333333,0.333333333,0,0,0,0
ikontha,conta,conta,0,1,0,0,1,loan,conta,1,0.428571429,0,0,0,0,0,0
ontario,ntário,ontário,0,0,1,0,1,loan,notário,1,0.428571429,0,0,0,0,0,0
ifolyeeto,folhetos,folhetos,0,1,0,0,1,loan,folhetos,1,0.444444444,0,0,0,0,0,0
ediosese,diocese,diocese,1,0,1,0,1,loan,diocese,1,0.25,0,0,0,0,0,0
ikonto,conto,conto,0,0,0,0,1,loan,conto,1,0.333333333,0,0,0,0,0,0
iversitaariyu,versidário,universitária,0,0,0,0,1,loan,iversitaariyu,0,0,0,0.25,0,0,0,0
etrianculo,trianculo,triânglo,0,0,1,1,1,loan,etrianculo,0,0,0,0,0,0,1,0
habakuki,habacuc,habacuque,1,0,0,0,1,loan,habakuki,0,0,0,0,0,0,0,1
esaite,site,site,0,0,0,0,1,loan,site,1,0.333333333,0,0,0,0,0,0
ebanda,banda,banda,1,0,0,0,1,loan,banda,1,0.166666667,0,0,0,0,0,0
ekitixitante,equidistante,equidistante,0,0,0,0,1,loan,equidistante,1,0.416666667,0.333333333,0.333333333,0,0,0,0
waasiya,ásia,ásia,0,0,0,0,1,loan,ásia,1,0.571428571,0.5,0.5,0,0,0,0
xaarti,jardim,jardim,0,0,0,1,1,loan,jardim,1,0.666666667,0.666666667,0.666666667,0,0,0,0
ocolorado,colorado,colorado,1,0,0,0,1,loan,colorado,1,0.111111111,0,0,0,0,1,1
ozanzibar,zanzibar,zanzibar,1,0,0,0,1,loan,zanzibar,1,0.111111111,0,0,0,0,0,0
omacedonia,macedónia,macedônia,1,0,1,0,1,loan,macedónia,1,0.2,0,0,0,0,0,0
obexarana,bejou,bejou,1,0,0,0,1,loan,beijou,1,0.777777778,0.75,0.75,0,0,0,0
telefoonini,telefoni,telefone,0,0,0,0,1,loan,telefone,1,0.363636364,0,0,0,0,0,1
eporovinciya,província,província,0,0,0,0,1,loan,província,1,0.333333333,0.2,0.2,0,0,0,0
otansaniya,tanzânia,tanzânia,0,0,0,0,1,loan,tanzânia,1,0.4,0,0,0,0,0,0
weritréia,eritreia,eritreia,0,0,1,1,1,loan,eritreia,1,0.222222222,0.333333333,0.333333333,0,0,0,0
wedeni,éden,eden,1,0,0,0,1,loan,éden,1,0.5,0.666666667,0.666666667,0,0,0,0
kalentaariyu,calendário,calendário,0,0,0,0,1,loan,calendário,1,0.5,0.2,0.2,0,0,0,0
oxipiritaali,hospital,hospital,0,0,0,0,1,loan,hospital,1,0.583333333,0.4,0.4,0,0,0,0
ikereve,greve,greve,0,0,0,0,1,loan,greve,1,0.428571429,0.666666667,0.666666667,0,0,0,0
entrevista,trevista,entrevista,0,0,0,1,1,loan,grevista,1,0.3,0.5,0.25,0,0,0,0
kucernatore,governador,governador,0,0,0,0,1,loan,governador,1,0.454545455,0.8,0.8,0,0,0,0
ofomento,fomento,fomento,0,0,0,0,1,loan,fomento,1,0.125,0,0,0,0,0,0
interkapiyu,intercâmbio,intercâmbio,0,0,0,0,1,loan,intercâmbio,1,0.545454545,0.333333333,0.333333333,0,0,0,0
internacional,internacional,internacional,0,0,1,0,1,loan,internacional,1,0,0,0,0,0,0,0
otesalonika,tessalônica,tessalônica,0,0,0,0,1,loan,otesalonika,0,0,0,0,0,0,0,0
okhavalu,cavalo,cavalo,0,1,0,0,1,loan,cavalo,1,0.5,0,0,0,0,0,0
ekrupu,grupos,grupos,0,0,0,1,1,loan,grupos,1,0.666666667,0.666666667,0.666666667,0,0,0,0
apirisori,professora,professora,0,0,0,0,1,loan,professora,1,0.7,0.25,0.25,0,0,0,0
ifiliyaali,filial,filiais,0,0,0,0,1,loan,filial,1,0.4,0,0,0,0,0,0
peresitenti,presidente,presidente,0,0,0,0,1,loan,presidente,1,0.272727273,0.333333333,0.333333333,0,0,0,0
mukristu,cristo,cristo,0,0,0,1,1,loan,cristo,1,0.5,0.5,0.5,0,0,0,0
moçampiqui,moçambique,moçambique,1,0,1,0,1,loan,moçambique,1,0.2,0.2,0.2,0,0,1,0
nimpatisiwa,batismo,batismo,0,0,0,0,1,loan,batismo,1,0.636363636,0.8,0.8,0,0,0,0
wikipedia,wikipédia,wikipédia,1,0,1,0,1,loan,wikipédia,1,0.111111111,0,0,0,0,0,0
purusopre,professor,professor,0,0,0,1,1,loan,professor,1,0.777777778,0.5,0.5,0,0,0,0
ostamford,stamford,stamford,1,0,0,1,1,loan,ostamford,0,0,0,0,0,0,0,0
egrego,grego,grego,1,0,0,1,1,loan,grego,1,0.166666667,0,0,0,0,0,1
eporoporosawu,proporção,proporção,0,0,0,0,1,loan,proporção,1,0.538461538,0.666666667,0.666666667,0,0,0,0
kontapiliista,contabilista,contabilista,0,0,0,1,1,loan,contabilista,1,0.230769231,0.166666667,0.166666667,0,0,0,0
ohorebi,horeb,horeb,1,0,0,0,1,loan,ohorebi,0,0,0,0,0,0,0,0
epasiyensiya,paciência,paciência,0,0,0,0,1,loan,paciência,1,0.5,0,0,0,0,0,0
ekonqeelyu,congelho,conselho,1,1,0,0,1,loan,congelo,1,0.6,0.5,0.5,0,0,0,0
oprasil,brasil,brasil,0,0,0,1,1,loan,brasil,1,0.285714286,0.5,0.5,0,0,0,0
eparaka,barraca,barraca,0,0,0,0,1,loan,barraca,1,0.571428571,0.333333333,0.333333333,0,0,0,0
fevereru,fevereiro,fevereiro,0,0,0,0,1,loan,fevereiro,1,0.222222222,0,0,1,0,0,0
waafirica,áfrica,áfrica,0,0,0,0,1,loan,áfrica,1,0.444444444,0.25,0.25,0,0,1,0
ekrafika,gráfica,gráfica,0,0,0,1,1,loan,gráfica,1,0.5,0.5,0.5,0,0,0,0
oomaputo,maputo,maputo,0,0,0,0,1,loan,maputo,1,0.25,0,0,0,0,0,0
omosambiki,moçambique,moçambique,1,0,0,0,1,loan,moçambique,1,0.5,0,0,0,0,0,0
eskiriipe,escripe,escriba,0,0,0,1,1,loan,estripe,1,0.333333333,0.75,0.25,0,0,0,0
apresitenti,presidente,presidente,0,0,0,1,1,loan,presidente,1,0.272727273,0.2,0.2,0,0,0,0
wetepartamento,etepartamento,departamento,0,0,0,1,1,loan,wetepartamento,0,0,0,0.142857143,0,0,0,0
apalano,planos,planos,0,0,0,0,1,loan,planos,1,0.428571429,0,0,0,0,0,0
petoru,pedro,pedro,0,0,0,0,1,loan,pedro,1,0.5,0.333333333,0.333333333,0,0,0,0
karlitu,carlito,carlito,0,0,0,0,1,loan,karlitu,0,0,0,0,0,0,0,0
ekristau,cristãos,cristãos,0,0,1,1,1,loan,cristãos,1,0.625,0.333333333,0.333333333,0,0,0,0
pudenti,budente,pudente,1,0,0,0,1,loan,pudenti,0,0,0,0.25,0,0,0,0
osiminariyu,seminário,seminário,0,0,0,0,1,loan,seminário,1,0.454545455,0,0,0,0,0,0
eekristau,cristão,cristão,0,0,1,1,1,loan,cristão,1,0.555555556,0.333333333,0.333333333,0,0,0,0
isentimeturu,centímetro,centímetro,0,0,0,0,1,loan,centímetro,1,0.416666667,0.166666667,0.166666667,0,0,0,0
efilori,flor,flor,0,0,0,0,1,loan,flor,1,0.428571429,0,0,0,0,0,1
manaye,manaém,manaém,0,0,0,0,1,loan,manam,1,0.333333333,0,0,0,0,0,0
altaari,altar,altar,0,0,0,0,1,loan,altar,1,0.285714286,0.5,0.5,0,0,0,0
mapurtukeexi,portugueses,portugueses,0,0,0,1,1,loan,portugueses,1,0.666666667,0.333333333,0.333333333,0,0,0,0
azariya,azarias,azarias,1,0,0,0,1,loan,asarias,1,0.428571429,0,0,0,0,0,0
asoftwares,softwares,softwares,0,0,0,0,1,loan,softwares,1,0.1,0,0,0,0,0,0
orama,ramá,ramá,0,0,0,0,1,loan,ramo,1,0.4,0,0,0,0,0,0
ometarica,metarica,metarica,0,0,0,0,1,loan,metarica,1,0.111111111,0,0,0,0,1,0
oboane,boane,boane,1,0,1,0,1,loan,boane,1,0.166666667,0,0,0,0,0,0
obahamas,bahamas,bahamas,1,0,0,0,1,loan,baamas,1,0.25,0,0,0,0,0,0
kupiku,cúbico,cúbico,0,0,0,0,1,loan,cúbico,1,0.833333333,0.333333333,0.333333333,0,0,0,0
etensitaate,densidade,densidade,0,0,0,0,1,loan,densidade,1,0.454545455,0.5,0.5,0,0,0,0
meediku,medigo,médico,1,0,0,0,1,loan,medido,1,0.428571429,0.333333333,0.333333333,0,0,0,0
onamarrói,namarrói,namarrói,0,0,0,0,1,loan,namarrói,1,0.111111111,0,0,0,0,0,0
isesau,seção,seção,0,0,1,0,1,loan,secção,1,0.833333333,0,0,0,0,0,0
tespertai,despertai,despertai,0,0,0,1,1,loan,despertai,1,0.111111111,0.2,0.2,0,0,0,0
edukumento,documento,documento,1,0,0,0,1,loan,documento,1,0.3,0,0,0,0,0,0
esumana,semana,semana,0,0,0,0,1,loan,semana,1,0.285714286,0,0,0,0,0,0
okampala,kampala,kampala,0,0,0,0,1,loan,okampala,0,0,0,0,0,0,0,0
isakhi,isaque,isaque,0,1,0,0,1,loan,isaque,1,0.5,0,0,0,0,0,0
eraayi,raim,eraayi,0,0,0,0,1,loan,ruim,1,0.833333333,0,0,0,0,0,0
ecaraxe,garagem,garagem,0,0,0,0,1,loan,garagem,1,0.571428571,0.666666667,0.666666667,0,0,1,0
osydney,sydney,sydney,1,1,0,0,1,loan,sidney,1,0.285714286,0,0,0,0,0,0
mugalileya,galileu,galileu,1,0,0,0,1,loan,galileu,1,0.4,0.333333333,0.333333333,0,0,0,0
débora,débora,débora,1,0,0,0,1,loan,débora,1,0,0,0,0,0,0,0
festivaale,festival,festival,0,0,0,1,1,loan,festival,1,0.2,0.25,0.25,1,0,0,0
ostatiyu,estádio,estádio,0,0,0,1,1,loan,estádio,1,0.625,0.5,0.5,0,0,0,0
ahutu,hutus,hutus,0,0,0,0,1,loan,ahutu,0,0,0,0,0,0,0,0
associacao,associação,associação,0,0,1,1,1,loan,associação,1,0.2,0.5,0.5,0,0,1,0
woblackpool,blacckpola,blackpool,1,0,0,1,1,loan,woblackpool,0,0,0,0.333333333,0,0,0,0
opoliisia,polísia,polícia,0,0,1,0,1,loan,polícia,1,0.444444444,0,0,0,0,0,0
wespanha,espanha,espanha,0,0,0,0,1,loan,espanha,1,0.125,0.25,0.25,0,0,0,0
omosampiikh,moçambique,moçambique,0,1,0,0,1,loan,moçambique,1,0.545454545,0.2,0.2,0,0,0,0
ekonta,conta,conta,0,0,0,0,1,loan,conta,1,0.333333333,0,0,0,0,0,0
kootenata,coordenadas,coordenadas,0,0,0,0,1,loan,coordenadas,1,0.454545455,0.6,0.6,0,0,0,0
salau,salão,salão,0,0,1,0,1,loan,salão,1,0.4,0,0,0,0,0,0
makristau,crentes,crentes,0,0,1,1,1,loan,crentes,1,0.777777778,0.75,0.75,0,0,0,0
maskara,escara,máscara,0,0,0,1,1,loan,escora,1,0.571428571,0.25,0.25,0,0,0,0
miniistaria,ministria,ministério,0,0,1,1,1,loan,ministrai,1,0.363636364,0.333333333,0.333333333,0,0,0,0
erevisawu,revisão,revisão,0,0,0,0,1,loan,revisão,1,0.444444444,0.25,0.25,0,0,0,0
mmafabrikani,mafabrica,fábrica,1,0,0,1,1,loan,mmafabrikani,0,0,0,0.2,0,0,0,1
intustiriya,indústria,indústria,0,0,0,1,1,loan,indústria,1,0.363636364,0.333333333,0.333333333,0,0,0,0
etiitulo,título,título,0,0,0,0,1,loan,título,1,0.375,0,0,0,0,0,0
ofiliyaali,filial,filial,0,0,0,0,1,loan,filial,1,0.4,0,0,0,0,0,0
eprovisiya,província,província,0,0,0,1,1,loan,província,1,0.5,0.25,0.25,0,0,0,0
wescandinavia,escandinávia,escandinávia,1,0,1,0,1,loan,escandinávia,1,0.153846154,0.2,0.2,0,0,1,0
eyòtto,eyotto,eyotto,0,1,0,0,1,loan,eyòtto,0,0,0,0,0,0,0,0
mafirikaano,africanos,africanos,0,0,0,0,1,loan,africanos,1,0.454545455,0.2,0.2,0,0,0,0
kiliente,cliente,cliente,0,0,1,0,1,loan,cliente,1,0.25,0.25,0.25,0,0,0,0
mameteorologista,meteorologista,meteorologista,1,0,1,1,1,loan,meteorologista,1,0.125,0,0,0,0,0,0
ikhiloomotro,cliarmo,quilometro,0,1,0,1,1,loan,ikhiloomotro,0,0,0,0.5,0,0,0,0
etransmisoore,transmissor,transmissor,0,0,0,1,1,loan,transmissor,1,0.230769231,0.25,0.25,0,0,0,0
maronka,rongas,rongas,0,0,0,0,1,loan,longas,1,0.714285714,0.75,0.75,0,0,0,0
estreviste,entrevista,entrevista,0,0,0,1,1,loan,entrevista,1,0.2,0.25,0.25,0,0,0,0
britannica,britânica,britânica,1,0,0,1,1,loan,britânica,1,0.2,0,0,0,0,1,0
omapuutu,maputo,maputo,0,0,1,0,1,loan,maputo,1,0.375,0,0,0,0,0,0
saomosambiki,moçambique,moçambique,1,0,1,0,1,loan,moçambique,1,0.583333333,0.166666667,0.166666667,0,0,0,0
jesse,jesse,jesse,1,0,0,1,1,loan,gesse,1,0.2,0,0,0,0,0,0
kosmotolokista,coseologista,cosmotologista,0,0,0,1,1,loan,cosmologista,1,0.285714286,0.333333333,0.5,0,0,0,0
ogalileia,galeleia,galeleia,1,0,1,0,1,loan,galileia,1,0.111111111,0,0,0,0,0,0
universitaati,universidade,universidade,0,0,0,0,1,loan,universidade,1,0.307692308,0.25,0.25,0,0,0,0
epulitika,política,política,0,0,0,0,1,loan,política,1,0.444444444,0,0,0,0,0,0
etoropa,tropa,tropa,0,0,0,0,1,loan,tropa,1,0.285714286,0.333333333,0.333333333,0,0,0,0
alikatarau,algatrabão,alcatrão,0,0,1,0,1,loan,alikatarau,0,0,0,0.5,0,0,0,0
etekonoloxiya,tecnologia,tecnologia,0,0,0,0,1,loan,tecnologia,1,0.384615385,0.4,0.4,0,0,0,0
biblia,bíblia,bíblia,1,0,1,1,1,loan,bíblia,1,0.166666667,0,0,0,0,0,0
koronaviiru,coronavírus,coronavírus,0,0,0,0,1,loan,koronaviiru,0,0,0,0,0,0,0,0
amaprofeta,amprofeta,profetas,0,0,0,1,1,loan,amaprofeta,0,0,0,0,0,0,0,0
oyudeva,jerusalém,jerusalém,1,0,0,0,1,loan,jerusalém,1,0.888888889,1,1,0,0,0,0
ekolooniya,colónia,colónia,0,0,0,0,1,loan,colónia,1,0.5,0,0,0,0,0,0
epilyeti,bilhete,bilhete,0,1,0,0,1,loan,bilhete,1,0.5,0.333333333,0.333333333,0,0,0,0
austaraalel,austral,austral,0,0,1,1,1,loan,austral,1,0.363636364,0.5,0.5,0,0,0,0
musewu,museu,museu,0,0,0,0,1,loan,museu,1,0.166666667,0.333333333,0.333333333,0,0,0,0
nasionaliista,nacionalista,nacionalista,0,0,1,1,1,loan,nacionalista,1,0.153846154,0,0,0,0,0,0
estatisticas,estatística,estatística,0,0,0,1,1,loan,estatística,1,0.166666667,0,0,0,0,1,0
ikonteyutu,conteúdo,conteúdo,0,0,0,0,1,loan,conteúdo,1,0.6,0.25,0.25,0,0,0,0
emetalya,média,média,0,1,0,0,1,loan,média,1,0.75,0.666666667,0.666666667,0,0,0,0
herma,hermas,hermas,0,0,0,0,1,loan,hermes,1,0.333333333,0,0,0,0,0,0
munisipali,municipal,municipal,0,0,0,0,1,loan,municipal,1,0.2,0.25,0.25,0,0,0,0
peresiteenti,presidente,presidente,0,0,0,0,1,loan,presidente,1,0.333333333,0.333333333,0.333333333,0,0,0,0
exoornaale,jornal,jornal,0,0,0,0,1,loan,jornal,1,0.5,0.666666667,0.666666667,0,0,0,0
koronaviirus,coronavírus,coronavírus,0,0,0,0,1,loan,koronaviirus,0,0,0,0,0,0,0,0
esensu,censo,senso,0,0,0,0,1,loan,censo,1,0.5,0,0,0,0,0,0
ekonseelyau,conselho,conselho,0,1,1,0,1,loan,conselho,1,0.545454545,0,0,0,0,0,0
egurupo,grupo,grupo,1,0,0,0,1,loan,grupo,1,0.285714286,0.333333333,0.333333333,0,0,0,1
eparaakha,barraca,barraca,0,1,0,0,1,loan,barraca,1,0.555555556,0.333333333,0.333333333,0,0,0,0
itekonologia,tecnologias,tecnologias,1,0,1,0,1,loan,tecnologias,1,0.333333333,0.2,0.2,0,0,0,0
macantore,cantor,cantor,0,0,0,0,1,loan,cantor,1,0.333333333,0.4,0.4,0,0,1,0
ameerika,américa,américa,0,0,0,0,1,loan,américa,1,0.375,0,0,0,0,0,0
edeklarasau,declaração,declaração,1,0,1,1,1,loan,declaração,1,0.454545455,0.25,0.25,0,0,0,0
eseminario,seminário,seminário,0,0,1,0,1,loan,seminário,1,0.2,0,0,0,0,0,0
moçambicano,moçambique,moçambique,1,0,0,0,1,loan,moçambique,1,0.363636364,0.166666667,0.166666667,0,0,1,0
pipiliyu,bíblia,bíblia,0,0,0,0,1,loan,bíblia,1,0.75,0.5,0.5,0,0,0,0
apola,bola,bola,0,0,0,0,1,loan,bola,1,0.4,0.5,0.5,0,0,0,0
abrahamu,abraão,abrão,1,0,0,1,1,loan,abraão,1,0.5,0.5,0.5,0,0,0,1
colombia,colômbia,colômbia,1,0,1,0,1,loan,colômbia,1,0.125,0,0,0,0,1,0
ireferensiya,referencia,referencia,0,0,0,0,1,loan,referencia,1,0.25,0,0,0,0,0,1
ekarinyu,carrinho,carrinho,0,1,0,0,1,loan,carrinho,1,0.625,0,0,0,0,0,0
osekeretariaatu,secretário,secretário,0,0,1,0,1,loan,secretário,1,0.533333333,0.333333333,0.333333333,0,0,0,0
istuufa,estufa,estufa,0,0,1,1,1,loan,estufa,1,0.285714286,0,0,0,0,0,0
impressora,impressora,impressora,0,0,0,1,1,loan,impressora,1,0,0,0,0,0,0,0
komantanti,comandante,comandante,0,0,0,0,1,loan,comandante,1,0.3,0.4,0.4,0,0,0,0
mapereso,presos,presos,0,0,0,0,1,loan,presos,1,0.5,0.5,0.5,0,0,0,0
oxipitali,espital,hospital,0,0,0,0,1,loan,espinal,1,0.555555556,0.5,0.25,0,0,0,0
omasampiki,moçambique,moçambique,0,0,0,0,1,loan,moçambique,1,0.7,0.2,0.2,0,0,0,0
ipeskiisa,pesquisa,pesquisa,0,0,0,1,1,loan,pesquisa,1,0.333333333,0,0,0,0,0,0
